## header:
##   title: Os187(n,x) nuclear model parameters
##   source: TALYS-2.2
##   user: Arjan Koning
##   date: 2026-01-14
##   format: YANDF-0.4
## target:
##   Z: 76
##   A: 187
##   nuclide: Os187 
## residual:
##   Z: 76
##   A: 188
##   nuclide: Os188 
## parameters: 
##   level density
a                76 188  22.83621
aadjust          76 188   1.00000
gammald          76 188   0.07560
pair             76 188   1.75038
Pshift           76 188   0.00000   0
Pshiftadjust     76 188   0.00000   0
deltaW           76 188   0.70381   0
T                76 188   0.50503   0
E0               76 188   0.04051   0
Exmatch          76 188   5.86789   0
Tadjust          76 188   1.00000   0
E0adjust         76 188   1.00000   0
Exmatchadjust    76 188   1.00000   0
Ntop             76 188  50   0
Nlow             76 188   2   0
s2adjust         76 188   1.00000   0
ctable           76 188   0.00000   0
ptable           76 188   0.00000   0
ctableadjust     76 188   0.00000   0
ptableadjust     76 188   0.00000   0
Ufermi           76 188  30.00000   0
cfermi           76 188   5.00000   0
D0               76 188 5.10000E+00
g                76 188  12.53333
gp               76 188   5.06667
gn               76 188   7.46667
gnadjust         76 188   1.00000
gpadjust         76 188   1.00000
gadjust          76 188   1.00000
Risomer          76 188   1.00000
## parameters: 
##   photon strength function
gamgam           76 188   0.00009
gamgamadjust     76 188   1.00000
etable           76 188   0.00000 E1
ftable           76 188   1.00000 E1
wtable           76 188   0.88000 E1
etableadjust     76 188   0.00000 E1
ftableadjust     76 188   1.00000 E1
wtableadjust     76 188   1.00000 E1
etable           76 188   0.00000 M1
ftable           76 188   1.00000 M1
wtable           76 188   1.00000 M1
etableadjust     76 188   0.00000 M1
ftableadjust     76 188   1.00000 M1
wtableadjust     76 188   1.00000 M1
upbendc          76 188 1.00000E-08 M1
upbende          76 188 8.00000E-01 M1
upbendf          76 188 0.00000E+00 M1
upbendcadjust    76 188 1.00000E+00 M1
upbendeadjust    76 188 1.00000E+00 M1
upbendfadjust    76 188 1.00000E+00 M1
sgr              76 188 390.000 E1 2
egr              76 188  14.880 E1 2
ggr              76 188   4.190 E1 2
sgradjust        76 188   1.000 E1 2
egradjust        76 188   1.000 E1 2
ggradjust        76 188   1.000 E1 2
sgr              76 188   0.000 M1
egr              76 188   0.000 M1
ggr              76 188   0.000 M1
sgradjust        76 188   1.000 M1
egradjust        76 188   1.000 M1
ggradjust        76 188   1.000 M1
etable           76 188   0.00000 E2
ftable           76 188   1.00000 E2
wtable           76 188   1.00000 E2
etableadjust     76 188   0.00000 E2
ftableadjust     76 188   1.00000 E2
wtableadjust     76 188   1.00000 E2
etable           76 188   0.00000 M2
ftable           76 188   1.00000 M2
wtable           76 188   1.00000 M2
etableadjust     76 188   0.00000 M2
ftableadjust     76 188   1.00000 M2
wtableadjust     76 188   1.00000 M2
upbendc          76 188 0.00000E+00 M2
upbende          76 188 0.00000E+00 M2
upbendf          76 188 0.00000E+00 M2
upbendcadjust    76 188 1.00000E+00 M2
upbendeadjust    76 188 1.00000E+00 M2
upbendfadjust    76 188 1.00000E+00 M2
sgr              76 188   0.000 M2
egr              76 188   0.000 M2
ggr              76 188   0.000 M2
sgradjust        76 188   1.000 M2
egradjust        76 188   1.000 M2
ggradjust        76 188   1.000 M2
## residual:
##   Z: 76
##   A: 187
##   nuclide: Os187 
## parameters: 
##   level density
a                76 187  23.46315
aadjust          76 187   1.00000
gammald          76 187   0.07574
pair             76 187   0.87753
Pshift           76 187   0.00000   0
Pshiftadjust     76 187   0.00000   0
deltaW           76 187   0.98895   0
T                76 187   0.51774   0
E0               76 187  -1.13167   0
Exmatch          76 187   5.37745   0
Tadjust          76 187   1.00000   0
E0adjust         76 187   1.00000   0
Exmatchadjust    76 187   1.00000   0
Ntop             76 187  37   0
Nlow             76 187   5   0
s2adjust         76 187   1.00000   0
ctable           76 187   0.00000   0
ptable           76 187   0.00000   0
ctableadjust     76 187   0.00000   0
ptableadjust     76 187   0.00000   0
Ufermi           76 187  30.00000   0
cfermi           76 187   5.00000   0
D0               76 187 2.90000E+01
g                76 187  12.46667
gp               76 187   5.06667
gn               76 187   7.40000
gnadjust         76 187   1.00000
gpadjust         76 187   1.00000
gadjust          76 187   1.00000
Risomer          76 187   1.00000
## parameters: 
##   photon strength function
gamgam           76 187   0.00007
gamgamadjust     76 187   1.00000
etable           76 187   0.00000 E1
ftable           76 187   1.00000 E1
wtable           76 187   1.07600 E1
etableadjust     76 187   0.00000 E1
ftableadjust     76 187   1.00000 E1
wtableadjust     76 187   1.00000 E1
etable           76 187   0.00000 M1
ftable           76 187   1.00000 M1
wtable           76 187   1.00000 M1
etableadjust     76 187   0.00000 M1
ftableadjust     76 187   1.00000 M1
wtableadjust     76 187   1.00000 M1
upbendc          76 187 1.00000E-08 M1
upbende          76 187 8.00000E-01 M1
upbendf          76 187 0.00000E+00 M1
upbendcadjust    76 187 1.00000E+00 M1
upbendeadjust    76 187 1.00000E+00 M1
upbendfadjust    76 187 1.00000E+00 M1
sgr              76 187   0.000 M1
egr              76 187   0.000 M1
ggr              76 187   0.000 M1
sgradjust        76 187   1.000 M1
egradjust        76 187   1.000 M1
ggradjust        76 187   1.000 M1
etable           76 187   0.00000 E2
ftable           76 187   1.00000 E2
wtable           76 187   1.00000 E2
etableadjust     76 187   0.00000 E2
ftableadjust     76 187   1.00000 E2
wtableadjust     76 187   1.00000 E2
etable           76 187   0.00000 M2
ftable           76 187   1.00000 M2
wtable           76 187   1.00000 M2
etableadjust     76 187   0.00000 M2
ftableadjust     76 187   1.00000 M2
wtableadjust     76 187   1.00000 M2
upbendc          76 187 0.00000E+00 M2
upbende          76 187 0.00000E+00 M2
upbendf          76 187 0.00000E+00 M2
upbendcadjust    76 187 1.00000E+00 M2
upbendeadjust    76 187 1.00000E+00 M2
upbendfadjust    76 187 1.00000E+00 M2
sgr              76 187   0.000 M2
egr              76 187   0.000 M2
ggr              76 187   0.000 M2
sgradjust        76 187   1.000 M2
egradjust        76 187   1.000 M2
ggradjust        76 187   1.000 M2
## residual:
##   Z: 75
##   A: 187
##   nuclide: Re187 
## parameters: 
##   level density
a                75 187  23.63759
aadjust          75 187   1.00000
gammald          75 187   0.07574
pair             75 187   0.87753
Pshift           75 187   0.00000   0
Pshiftadjust     75 187   0.00000   0
deltaW           75 187   1.02773   0
T                75 187   0.49655   0
E0               75 187  -0.90038   0
Exmatch          75 187   5.00840   0
Tadjust          75 187   1.00000   0
E0adjust         75 187   1.00000   0
Exmatchadjust    75 187   1.00000   0
Ntop             75 187  17   0
Nlow             75 187   5   0
s2adjust         75 187   1.00000   0
ctable           75 187   0.00000   0
ptable           75 187   0.00000   0
ctableadjust     75 187   0.00000   0
ptableadjust     75 187   0.00000   0
Ufermi           75 187  30.00000   0
cfermi           75 187   5.00000   0
g                75 187  12.46667
gp               75 187   5.00000
gn               75 187   7.46667
gnadjust         75 187   1.00000
gpadjust         75 187   1.00000
gadjust          75 187   1.00000
Risomer          75 187   1.00000
## parameters: 
##   photon strength function
gamgam           75 187   0.00000
gamgamadjust     75 187   1.00000
etable           75 187   0.00000 E1
ftable           75 187   1.00000 E1
wtable           75 187   1.07600 E1
etableadjust     75 187   0.00000 E1
ftableadjust     75 187   1.00000 E1
wtableadjust     75 187   1.00000 E1
etable           75 187   0.00000 M1
ftable           75 187   1.00000 M1
wtable           75 187   1.00000 M1
etableadjust     75 187   0.00000 M1
ftableadjust     75 187   1.00000 M1
wtableadjust     75 187   1.00000 M1
upbendc          75 187 1.00000E-08 M1
upbende          75 187 8.00000E-01 M1
upbendf          75 187 0.00000E+00 M1
