## header:
##   title: Th232(p,x) nuclear model parameters
##   source: TALYS-2.2
##   user: Arjan Koning
##   date: 2026-01-14
##   format: YANDF-0.4
## target:
##   Z: 90
##   A: 232
##   nuclide: Th232 
## residual:
##   Z: 91
##   A: 233
##   nuclide: Pa233 
## parameters: 
##   level density
a                91 233  14.75839
aadjust          91 233   1.00000
gammald          91 233   0.07697
pair             91 233   0.78615
Pshift           91 233   0.00000   0
Pshiftadjust     91 233   0.00000   0
deltaW           91 233   3.17564   0
T                91 233   0.42363   0
E0               91 233  -1.19070   0
Exmatch          91 233   4.17855   0
Tadjust          91 233   1.00000   0
E0adjust         91 233   1.00000   0
Exmatchadjust    91 233   1.00000   0
Ntop             91 233  16   0
Nlow             91 233   7   0
s2adjust         91 233   1.00000   0
ctable           91 233   0.00000   0
ptable           91 233   0.00000   0
ctableadjust     91 233   0.00000   0
ptableadjust     91 233   0.00000   0
Ufermi           91 233  30.00000   0
cfermi           91 233   5.00000   0
Krotconstant     91 233   1.00000   0
Pshift           91 233   0.00000   1
Pshiftadjust     91 233   0.00000   1
deltaW           91 233   1.50000   1
T                91 233   0.34006   1
E0               91 233   0.00001   1
Exmatch          91 233   2.46945   1
Tadjust          91 233   1.00000   1
E0adjust         91 233   1.00000   1
Exmatchadjust    91 233   1.00000   1
Ntop             91 233   1   1
Nlow             91 233   0   1
s2adjust         91 233   1.00000   1
ctable           91 233   0.00000   1
ptable           91 233   0.00000   1
ctableadjust     91 233   0.00000   1
ptableadjust     91 233   0.00000   1
Ufermi           91 233  45.00000   1
cfermi           91 233   5.00000   1
Krotconstant     91 233   1.00000   1
Pshift           91 233   0.00000   2
Pshiftadjust     91 233   0.00000   2
deltaW           91 233   0.60000   2
T                91 233   0.35275   2
E0               91 233   0.00001   2
Exmatch          91 233   2.42899   2
Tadjust          91 233   1.00000   2
E0adjust         91 233   1.00000   2
Exmatchadjust    91 233   1.00000   2
Ntop             91 233   1   2
Nlow             91 233   0   2
s2adjust         91 233   1.00000   2
ctable           91 233   0.00000   2
ptable           91 233   0.00000   2
ctableadjust     91 233   0.00000   2
ptableadjust     91 233   0.00000   2
Ufermi           91 233  45.00000   2
